clientes;status;genero;compras;regiao;pagto;qtde;pedido
583;1;1;1;1;3;1;400
584;0;0;3;1;1;1;500
585;0;0;1;1;2;2;300
586;0;0;1;0;1;2;400
587;0;0;1;0;2;2;100
588;0;0;2;1;1;1;90
589;0;0;1;1;2;1;100
590;0;0;1;1;2;1;300
591;1;0;9;0;2;1;100
592;0;0;1;0;1;1;300
593;0;0;1;0;2;1;500
594;0;0;6;1;1;1;100
595;0;0;1;1;1;1;100
596;0;0;3;1;2;2;300
597;0;0;1;0;1;5;1000
598;0;0;1;0;1;1;300
599;0;0;1;0;4;1;200
600;0;0;1;0;1;4;1000
601;0;1;4;1;3;1;300
602;0;0;1;0;1;1;100
603;0;0;1;0;1;1;400
604;0;0;2;1;1;1;200
605;0;0;1;1;2;2;1000
606;0;0;1;0;2;4;400
607;0;0;1;1;1;1;100
608;0;0;3;1;2;3;300
609;0;0;1;1;4;2;700
610;0;0;1;0;1;1;300
611;0;0;1;0;2;2;200
612;0;0;14;0;1;1;200
613;0;0;8;0;1;1;400
614;0;0;14;0;1;2;800
615;0;0;2;1;1;1;100
616;0;0;1;1;1;1;100
617;0;0;4;0;1;1;600
618;0;1;1;0;1;1;100
619;0;0;9;0;2;1;100
620;0;0;1;0;1;1;100
621;0;1;1;0;2;1;400
622;0;0;2;0;2;1;100
623;0;0;1;0;2;2;800
624;0;0;8;0;2;1;300
625;0;0;1;0;1;1;300
626;0;0;1;1;1;1;200
627;0;0;4;0;2;3;1000
628;0;0;4;0;2;6;1000
629;0;0;1;0;1;2;600
630;0;0;1;0;2;1;200
631;1;0;8;0;2;1;300
632;0;0;6;1;2;3;1000
633;0;0;7;0;2;1;100
634;0;0;9;0;1;1;200
635;0;0;1;0;4;1;500
636;0;1;2;0;1;1;600
637;0;0;2;0;1;2;200
638;0;0;1;1;1;1;200
639;0;0;2;0;2;2;600
640;0;0;2;0;2;1;600
641;1;0;2;0;2;1;600
642;0;0;14;0;1;1;400
643;0;0;2;0;2;1;200
644;0;0;2;0;1;7;2000
645;0;0;1;0;1;1;100
646;0;0;1;0;2;1;500
647;0;0;6;1;1;1;1000
648;0;0;1;0;2;1;100
649;1;0;3;0;2;2;300
650;0;0;3;0;1;1;100
651;0;0;14;0;1;1;100
652;0;0;1;0;2;1;400
653;0;0;8;0;1;1;400
654;1;0;9;0;2;3;500
655;0;0;1;0;2;1;200
656;0;0;1;0;2;3;400
657;0;0;1;1;2;5;400
658;1;0;1;0;2;1;400
659;0;0;1;0;3;2;400
660;0;0;4;0;1;3;400
661;0;0;1;0;1;3;900
662;0;0;1;0;2;3;400
663;0;0;5;0;1;4;1000
664;0;0;2;0;2;2;100
665;0;0;1;0;2;2;400
666;0;0;1;0;2;2;200
667;0;0;2;1;2;3;600
668;0;0;1;0;2;2;400
669;1;0;1;0;2;1;100
670;0;0;2;0;2;1;100
671;1;0;4;0;2;2;1000
672;1;0;4;0;2;1;200
673;1;0;4;0;2;1;200
674;0;0;1;0;2;1;300
675;0;0;1;0;2;3;1000
676;0;0;9;0;2;3;400
677;1;0;4;0;2;1;500
678;0;0;1;1;2;3;700
679;0;0;1;0;1;4;500
680;0;0;1;0;1;1;400
681;0;0;1;0;2;2;600
682;0;0;1;0;1;1;100
683;0;0;9;0;1;1;300
684;0;0;9;0;1;1;100
685;0;0;1;0;2;2;500
686;0;1;9;1;1;2;200
687;0;0;2;0;1;2;400
688;0;0;2;0;2;2;600
689;0;1;2;1;2;1;400
690;0;0;8;0;1;3;500
691;0;0;7;0;2;1;400
692;0;0;1;1;2;3;400
693;0;0;1;1;1;1;300
694;0;1;1;0;1;5;700
695;0;0;1;0;2;2;500
696;0;0;1;0;2;1;600
697;0;0;3;1;2;4;400
698;0;0;3;1;2;1;100
699;0;0;1;0;2;2;100
700;0;0;1;0;2;6;1000
701;0;0;3;0;2;2;300
702;0;0;2;0;2;6;1000
703;0;1;1;0;2;1;200
